"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.860714285714286,0.935714285714286,0.928571428571428,0.557142857142857,0.760714285714286,0.821428571428571
"2020-2021 train normalized",0.867669172932331,0.887218045112782,0.842105263157895,NA,0.624765170540938,0.733834586466166
"2020-2021 train batchCorrected",0.867669172932331,0.854135338345865,0.842105263157895,NA,0.624765170540938,0.733834586466166
"2022 test raw",NA,0.885714285714286,0.885714285714286,NA,NA,NA
"2022 test normalized",NA,NA,0.658494880238045,0.65034965034965,NA,NA
"2022 test batchCorrected",NA,NA,0.711034365363421,0.671328671328671,NA,NA
