"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.659464131374244,0.659200724369264,0.863265265158164,NA,0.668788989645636,0.420959547237765
"2020-2021 train normalized",0.548240523521422,0.678001399349714,0.816578305646995,0.504918561522335,NA,0.387452569297061
"2020-2021 train batchCorrected",0.5559616413549,0.357928962423344,0.824319148674754,0.481615868408321,NA,0.387452569297061
"2022 test raw",NA,NA,0.565768136367427,NA,NA,-0.483116883116883
"2022 test normalized",NA,0.658441558441558,0.441052312966112,NA,NA,NA
"2022 test batchCorrected",NA,NA,0.509256278888706,NA,NA,NA
