"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.419269868708071,0.745301889122114,0.85701614708888,NA,0.430702939095762,0.411569875876262
"2020-2021 train normalized",0.546956414372145,0.728674321932749,0.818715100857782,0.297129495242703,NA,0.387452569297061
"2020-2021 train batchCorrected",0.547219821377125,0.263250607070832,0.810974257830024,0.274794388001935,NA,0.387452569297061
"2022 test raw",NA,0.780519480519481,0.459889598792352,NA,NA,-0.485714285714286
"2022 test normalized",NA,0.825974025974026,0.490418993062466,NA,NA,NA
"2022 test batchCorrected",0.607792207792208,-0.492207792207792,0.529392687875377,NA,NA,NA
