"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.416586409844837,0.738222825863275,0.859757695661211,NA,0.428805710978198,0.410637340021866
"2020-2021 train normalized",0.545589990533811,0.728476766679014,0.816739573210073,0.284631511046605,NA,0.386905910347932
"2020-2021 train batchCorrected",0.551977610404577,0.279680619006462,0.809159997745393,0.279309788743751,NA,0.387452569297061
"2022 test raw",NA,0.715584415584416,0.517051017851288,NA,NA,-0.485714285714286
"2022 test normalized",NA,0.814285714285714,0.490418993062466,NA,NA,NA
"2022 test batchCorrected",0.607792207792208,-0.492207792207792,0.529392687875377,NA,NA,NA
