"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.649191258180022,0.823632547228053,0.995948152680839,1,0.514663322400154,0.485079426329668
"2020-2021 train normalized",0.692192451743014,0.856031608840598,0.999979841757797,0.680051604579906,0.329478400799566,0.436812656762493
"2020-2021 train batchCorrected",0.775346750627649,0.472560398403095,0.9949402304116,0.580148363167231,0.314471402754946,0.667856453791241
"2022 test raw",NA,0.638961038961039,NA,NA,NA,NA
"2022 test normalized",NA,NA,NA,-0.509090909090909,NA,NA
"2022 test batchCorrected",NA,0.514285714285714,NA,NA,NA,NA
