"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.755788780507882,0.817640037864757,0.952728445775853,1,0.526111003923082,0.518232683773876
"2020-2021 train normalized",0.750191381652056,0.840655224924888,0.996996391840848,0.71673923560716,0.297566413532121,0.650781400733166
"2020-2021 train batchCorrected",0.775215047125159,0.440342429106474,0.999979841757797,0.714400903080148,0.242749854758204,0.668403112740369
"2022 test raw",NA,0.594805194805195,NA,NA,NA,NA
"2022 test normalized",NA,0.690909090909091,NA,NA,NA,NA
"2022 test batchCorrected",NA,0.47012987012987,NA,NA,NA,NA
