"","1.1","1.2","2.1","2.2","3.1","3.2"
"2020-2021 train raw",0.725365271432687,0.768596946125036,0.916564194755544,0.530640219319465,0.745353398932407,0.4841147340665
"2020-2021 train normalized",0.601860311972672,0.707371280404988,0.883705928778339,0.67698758264796,0.261633258514243,0.416747057688597
"2020-2021 train batchCorrected",0.60197555253735,0.472560398403095,0.852097486414991,0.720125786163522,0.353637576644174,0.416747057688597
"2022 test raw",NA,NA,NA,NA,NA,NA
"2022 test normalized",NA,0.605194805194805,NA,NA,NA,NA
"2022 test batchCorrected",NA,0.514285714285714,0.478077323038377,NA,0.443939112526771,NA
